,Paper ID,Title,Abstract,Score
0,c4943b5cc55140da6a5bbf9e5ecb5d6729f0728d,A Mini-Review on the Epidemiology of Canine Parvovirus in China,"Canine viral diarrhea is a severe disease in dogs worldwide. The role of canine parvovirus (CPV) in canine viral diarrhea is a common health problem in dogs, attracting major concern from veterinarians and dog owners across China. In this mini-review, we summarize the CPV epidemiology in China, including its origin, prevalence, coinfection, and the genetic evolution of the virus. The review reveals the correlation between CPV-2 infection and seasonality, a dog's age/gender/breed/vaccination; that CPV-2 is the main causative agent of canine diarrhea in Northeast China and that coinfection with other pathogens is a common occurrence; the predominant CPV epidemic strains were the new CPV-2a, and CPV-2c has shown significant growth trends since 2010. This mini-review will provide valuable information for CPV infections across China and other countries.",0.18565808627617947
1,f162829ffeba4cedd16aaf7f09902182c5cf903c,DNA breaks-mediated cost reveals RNase HI as a new target for selectively eliminating antibiotic resistance,"Antibiotic resistance often generates a fitness cost to bacteria in drug-free environments. Understanding the causes of the cost is considered the Holy Grail in the antibiotic resistance field, as it is the main determinant of the prevalence of resistances upon reducing antibiotics use. We show that DNA breaks can explain most of the variation in the cost of resistances common in pathogens. Here we demonstrate that targeting the RNase that degrades R-loops, which cause DNA breaks, exacerbates the cost of resistance. Consequently, lack of RNase HI function drives resistant clones to extinction in populations with high initial frequency of resistance, both in laboratory conditions and in a mouse model of gut colonization. Thus, RNase HI provides a target specific against resistant bacteria, which we validate using a repurposed drug. In summary, we revealed key mechanisms underlying the cost of antibiotic resistance that can be exploited to specifically eliminate resistant bacteria.",0.17418053560391009
2,f8360b0e64d444215d21a61e056b070f12417e53,"Preliminary epidemiological analysis on children and adolescents with novel coronavirus disease 2019 outside Hubei Province, China: an observational study utilizing crowdsourced data","<jats:p>Background: The  outbreak of coronavirus disease 2019 (COVID-19) continues to expand across the world. Though both the number of cases and mortality rate in children and adolescents is reported to be low in comparison to adults, limited data has been reported on the outbreak with respect to pediatric patients. To elucidate information, we utilized crowdsourced data to perform a preliminary epidemiologic analysis of pediatric patients with COVID-19   Methods: In this observational study, data was collected from two open-access, line list crowdsourced online databases. Pediatric cases of COVID-19 were defined as patients ≤19 years of age with a laboratory confirmed diagnosis. The primary outcomes were case counts and cumulative case counts. Secondary outcomes included days between symptoms onset and first medical care and days between first medical care and reporting. Tertiary outcomes were rate of travel to Wuhan, rate of infected family members and rates of symptoms.   Results: A total of 82 patients were included. The median age was 10 [IQR: 5-15] years. Patients from mainland China (outside Hubei) accounted for 46.3% of cases, while the remaining 53.7% of cases were international. Males and females accounted for 52.4% and 32.9% of cases, respectively, with the remaining 14.6% being designated as unknown. A male skew persisted across subgroup analyses by age group (p=1.0) and location (inside/outside China) (p=0.22). While the number of reported international cases has been steadily increasing over the study period, the number of reported cases in China rapidly decreased from the start point. The median reporting delay was 3 [IQR: 2-4.8] days. The median delay between symptom onset and first seeking medical care was 1 [IQR: 0-3.25] day. In international cases, time to first seeking medical care was a median of 2.5 days longer than in China (p=0.04). When clinical features were reported, fever was the most common presentation (68.0%), followed by cough (36.0%).  Conclusions: The number of reported international pediatric COVID-19 cases is rapidly increasing. COVID-19 infections are, to-date, more common in males than females in both the children and adolescent age groups. Additionally, this male predominance remains the case both inside and outside of China. Crowdsourced data enabled early analysis of epidemiologic variables in pediatric patients with COVID-19. Further data sharing is required to enable analyses that are required to understand the course of this infection in children.</jats:p>",0.16404880638618735
4,1a12cc7d49d8521bec5d447ebb413cbcf5aca8f4,Study of the mental health status of medical personnel dealing with new coronavirus pneumonia,"<jats:p>Objective: This paper studied the relationship between personality traits and mental health conditions of medical personnel to provide a basis and reference for the implementation of targeted education on mental health. Methods: A self-report inventory, the Symptom Checklist-90 (SCL-90), was used to investigate the mental health status of 548 medical personnel dealing with the new coronavirus pneumonia in eight provinces and cities of China. Results: The overall mean SCL-90 score and mean values of factors (somatization, obsessive-compulsive, anxiety, phobic anxiety, and psychoticism) of the medical personnel were significantly higher than in the norm group (p &lt; 0.05), while their average interpersonal sensitivity score was significantly lower (p &lt; 0.01). In addition, personal factors affecting the mental health status of medical personnel were identified. ( all p &lt; 0.05).  Conclusion: The overall mental health status of medical personnel responding to new coronavirus pneumonia is generally higher than that of the norm group in China. The results of this study should contribute to measures to alleviate the psychological pressures on medical personnel dealing with the new coronavirus epidemic in China</jats:p>",0.15869601220263876
5,083dd400b7854ffa908a21641197855aee981ea5,The prevalence and influencing factors for anxiety in medical workers fighting COVID-19 in China: A cross-sectional survey,"<jats:p>Abstract: Background: The COVID-19 outbreak caused by the SARS-Cov-2 virus has been sustained in China since December 2019, and could become a pandemic if we do not contain it. The mental health of frontline medical staff is a concern. In this study, we aimed to identify the influencing factors on medical worker anxiety in China during the COVID-19 outbreak.  Methods: We conducted a cross-sectional study to estimate the prevalence of anxiety among medical staff from 10th February 2020 to 20th February 2020 in China using the Zung Self-rating Anxiety Scale (SAS) to assess anxiety, using the criteria of normal (≤49), mild (50-59), moderate (60-70) and severe anxiety (≥70). We used multivariable linear regression to determine the factors (e.g., having direct contact treating infected patients, being a medical staff worker from Hubei province, being a suspect case) for anxiety. We also used adjusted models to confirm independent factors for anxiety after adjusting for gender, age, education and marital status.  Results: Of 512 medical staff from China, 164 healthcare workers (32.03%) had had direct contact by treating infected patients. The prevalence of anxiety was 12.5%, with 53 workers suffering from mild (10.35%), seven workers from moderate (1.36%) and four workers from severe anxiety (0.78%). After adjusting for sociodemographic characteristics (gender, age, education and marital status), medical staff who had had direct contact treating infected patients saw higher anxiety scores than those who had not had direct contact (βvalue=2.33, CI: 0.65 -4.00; p=0.0068). Similar things were observed in medical staff from Hubei province, compared with those from other parts of China (βvalue=3.67, CI: 1.44 -5.89; p=0.0013). The most important variable was suspect cases with high anxiety scores, compared to non-suspect cases (βvalue=4.44, CI: 1.55 -7.33; p=0.0028). Conclusion: Our results highlight that government authorities should make early detection of the high risk of anxiety among medical staff a priority, and implement appropriate psychological intervention programs, to prevent medical staff from developing psychological disorders that could potentially exert an adverse effect on combating the COVID-19 epidemic.</jats:p>",0.14001706525381344
6,530f3ba1a2c044305d73123fd8d2246f63120bc3,The Impact of the COVID-19 Outbreak on the Medical Treatment of Chinese Children with Chronic Kidney Disease (CKD)：A Multicenter Cross-section Study in the Context of a Public Health Emergency of International Concern,"<jats:p>Objective: To investigate the impact of the COVID-19 outbreak on the medical advice seeking of Chinese children with chronic kidney disease (CKD).  Materials and Methods: An anonymous online questionnaire survey was conducted in 17 pediatric nephropathy diagnosis and treatment centers in China. The questions collected basic information on the patients and their parents and data on changes in the approach to medical treatment and their needs in the context of the outbreak etc. This is a Multicenter Cross-section Study. Results: A total of 735 valid questionnaires were collected. 555 patients (75.5%) and their parents said that the outbreak had a significant influence on their medical treatment: 264 patients (47.6%) said that it would be delayed by 2 to 4 weeks and 199 patients (35.9%) by 4 to 8 weeks. 510 patients (84.16%) hoped to get in touch with specialists through online consultation, and 528 patients (84.5%) hoped that online consultation could be implemented and that medication could be delivered to them.. A total of 458 patients (62.3%) said that their greatest concern was that the CKD would be aggravated or that they would experience a relapse; only 203 patients were infected by 2019-nCoV. A total of 313 patients (42.5%) experienced anxiety and thus required the intervention of psychologists. Conclusion: The COVID-19 outbreak has affected the medical treatment of children with CKD. Online consultation, medication delivery and psychological counselling are the greatest needs reported by patients and their families and could especially provide solutions for the management of low income children with CKD in remote rural areas in the context of the COVID-19 epidemic.</jats:p>",0.13446673373050622
7,6049f1c151fa95bc40deaf050225dd7a00880171,Development of a Multiplex RT-qPCR for the Detection of Different Clades of Avian Influenza in Poultry,"Since the initial detection of H5N1, a highly pathogenic avian influenza (HPAI) virus, in 1996 in China, numerous HPAI H5 lineages have been classified, and they continue to pose a threat to animal and human health. In this study, we developed a novel primer/probe set that can be employed to simultaneously detect pan-H5 HPAI and two clades, 2.3.2.1 and 2.3.4.4, of H5Nx viruses using reverse transcription quantitative polymerase chain reaction (RT-qPCR). The sensitivity and specificity of these primer sets and probes were confirmed with a number of different subtypes of influenza virus and the H5-HA gene plasmid DNA. In particular, the multiplex RT-qPCR assay was successfully applied to the simultaneous detection of H5 HPAI and different virus clades in clinical field samples from a poultry farm. Therefore, this multiplex assay and a novel detection primer set and probes will be useful for the laboratory diagnosis and epidemiological field studies of different circulating H5 HPAI virus clades in poultry and migratory wild birds.",0.1279321749942033
8,54a6d0d7afc568a29f625c33187e6800b0f72087,Both ADP-Ribosyl-Binding and Hydrolase Activities of the Alphavirus nsP3 Macrodomain Affect Neurovirulence in Mice,"Macrodomain (MD), a highly conserved protein fold present in a subset of plus-strand RNA viruses, binds to and hydrolyzes ADP-ribose (ADPr) from ADP-ribosylated proteins. ADPr-binding by the alphavirus nonstructural protein 3 (nsP3) MD is necessary for the initiation of virus replication in neural cells, whereas hydrolase activity facilitates replication complex amplification. To determine the importance of these activities for pathogenesis of alphavirus encephalomyelitis, mutations were introduced into the nsP3 MD of Sindbis virus (SINV), and the effects on ADPr binding and hydrolase activities, virus replication, immune responses, and disease were assessed. Elimination of ADPr-binding and hydrolase activities (G32E) severely impaired in vitro replication of SINV in neural cells and in vivo replication in the central nervous systems of 2-week-old mice with reversion to wild type (WT) (G) or selection of a less compromising change (S) during replication. SINVs with decreased binding and hydrolase activities (G32S and G32A) or with hydrolase deficiency combined with better ADPr-binding (Y114A) were less virulent than WT virus. Compared to the WT, the G32S virus replicated less well in both the brain and spinal cord, induced similar innate responses, and caused less severe disease with full recovery of survivors, whereas the Y114A virus replicated well, induced higher expression of interferon-stimulated and NF-κB-induced genes, and was cleared more slowly from the spinal cord with persistent paralysis in survivors. Therefore, MD function was important for neural cell replication both in vitro and in vivo and determined the outcome from alphavirus encephalomyelitis in mice.",0.11631564989095648
10,a8e454743b0dd79bb15d6c5e8596b05e4b3e6cf0,The insert sequence in SARS-CoV-2 enhances spike protein cleavage by TMPRSS,"At the end of 2019, the SARS-CoV-2 induces an ongoing outbreak of pneumonia in China1, even more spread than SARS-CoV infection2. The entry of SARS-CoV into host cells mainly depends on the cell receptor (ACE2) recognition and spike protein cleavage-induced cell membrane fusion3,4. The spike protein of SARS-CoV-2 also binds to ACE2 with a similar affinity, whereas its spike protein cleavage remains unclear5,6. Here we show that an insertion sequence in the spike protein of SARS-CoV-2 enhances the cleavage efficiency, and besides pulmonary alveoli, intestinal and esophagus epithelium were also the target tissues of SARS-CoV-2. Compared with SARS-CoV, we found a SPRR insertion in the S1/S2 protease cleavage sites of SARS-CoV-2 spike protein increasing the cleavage efficiency by the protein sequence aligment and furin score calculation. Additionally, the insertion sequence facilitates the formation of an extended loop which was more suitable for protease recognition by the homology modeling and molicular docking. Furthermore, the single-cell transcriptomes identified that ACE2 and TMPRSSs are highly coexpressed in AT2 cells of lung, along with esophageal upper epithelial cells and absorptive enterocytes. Our results provide the bioinformatics evidence for the increased spike protein cleavage of SARS-CoV-2 and indicate its potential target cells.",0.10661813516491257
11,c954675ee859e2f7b8f352a398a67469b50f05de,Evaluation of the clinical characteristics of suspected or confirmed cases of COVID-19 during home care with isolation: A new retrospective analysis based on O2O,"<jats:p>Summary Background The recent outbreak of the novel coronavirus in December 2019 (COVID-19) has activated top-level response nationwide. We developed a new treatment model based on the online-to-offline (O2O) model for the home isolated patients, because in the early stages the medical staff were insufficient to cope with so many patients. Methods In this single-centered, retrospective study, we enrolled 48 confirmed/suspected COVID-19 patients who underwent home isolation in Wuhan between January 6 and January 31, 2020. By WeChat and online document editing all patients were treated with medical observation scale. The clinical indications such as Fever, Muscle soreness, Dyspnea and Lack of strength were collected with this system led by medical staff in management, medicine, nursing, rehabilitation and psychology.  Findings The mean(SD) age of 48 patients was 39.08(13.88) years, 35(72.9%) were women. Compared with non-hospitalized patients, inpatients were older(≥8805;70years, 2.4% vs 33.3%, P&lt;0.04). All inpatients had fever, 50% inpatients had coughs and showed infiltration in both lungs at the time of diagnosis. 33.3% inpatients exhibited negative changes in their CT results at initial diagnosis. The body temperature of non-hospitalized patients with mild symptoms returned to normal by day 4-5. While dyspnea peaked on day 6 for non-hospitalized patients with mild symptoms, it persisted in hospitalized patients and exacerbated over time. The lack of strength and muscle soreness were both back to normal by day 4 for non-hospitalized patients. Interpretation Monitoring the trends of symptoms is more important for identifying severe cases. Excessive laboratory data and physical examination are not necessary for the evaluation of patients with mild symptoms. The system we developed is the first to convert the subjective symptoms of patients into objective scores. This type of O2O, subjective-to-objective strategy may be used in regions with similar highly infectious diseases to minimize the possibility of infection among medical staff.</jats:p>",0.09904928638114839
