,paperID,abstract,Score
0,Abnormal Coagulation parameters are associated with poor prognosis in patients with novel coronavirus pneumonia,"There is concern about a new coronavirus, the 2019-nCoV, as a global public health threat.",2.6950107
1,The Microbial Rosetta Stone Database: A compilation of global and emerging infectious microorganisms and bioterrorist threat agents,The coronavirus diseases in children are usually mild and epidemiological exposure is a key clue to recognize pediatric case.,2.5767756
2,Uncertainties about the transmission routes of 2019 novel coronavirus,Key words: 2019 novel coronavirus; acute respiratory infection; risk factors for disease severity</jats:p>,2.348201
3,The psychological effects of quarantining a city,This knowledge should facilitate the design of antivirals to prevent coronavirus infections in the field.,2.3445318
4,Scientist decries ‘completely chaotic’ conditions on cruise ship Japan quarantined after viral outbreak | Science | AAAS,"To understand the time-dependent risk of infection on a cruise ship, the Diamond Princess, I estimated the incidence of infection with novel coronavirus (COVID-19).",2.3367093
5,Antigen Capture Enzyme-Linked Immunosorbent Assay for Detecting Middle East Respiratory Syndrome Coronavirus in Humans,Accurate estimation of the incubation period of the coronavirus is essential to the prevention and control.,2.3300874
6,Singapore claims first use of antibody test to track coronavirus infections | Science | AAAS,"“Since the beginning, we have been serious in strictly following WHO [World Health Organization] guidelines regarding the coronavirus issue,” he said.",2.326062
7,Dynamic changes of chest CT imaging in patients with corona virus disease-19 (COVID-19),Prevention and control about the situation of 2019 coronavirus disease (COVID-19) are grim at present.,2.3226469
8,Deducing the Crystal Structure of MERS-CoV Helicase,"However, whether coronavirus disease 2019 (COVID-19) causes heart injury and hereby impacts mortality has not yet been fully evaluated.",2.2851982
9,Integration of the Gene Ontology into an object-oriented architecture,"Using data obtained from similar coronaviruses, e.g.",2.2695565
10,How bad will it get?,"To date, few data on immunologic features of Coronavirus Disease 2019 (COVID-19) have been reported.",2.2182965
11,Application of the ARIMA model on the COVID-2019 epidemic dataset,"Unfortunately, the similarities and differences between the two coronavirus diseases remain to be unknown.",2.185801
12,Investigation on demands for antenatal care services among 2 002 pregnant women during the epidemic of coronavirus disease 2019 in Shanghai,The first coronaviruses discovered were the cause of pediatric and adult respiratory infections that were not particularly dangerous.,2.1843092
13,Materialism and dialectics of epidemic prevention and control: only by respecting science can we get twice the result with half the effort,One sentence summaryThe novel 2019 coronavirus and the SARS-coronavirus share central biological properties which can guide risk assessment and intervention.,2.1760173
14,"Coronavirus latest: children are as susceptible as adults, study suggests","In the 316 patients with multiple respiratory pathogens, 104 were positive for 2019-nCov and 6/104 had co-infection with coronavirus (3/104), influenza A virus (2/104), rhinovirus (2/104), and influenza A H3N2 (1/104); the remaining 212 patients had influenza A virus (11/202), influenza A H3N2 (11/202), rhinovirus (10/202), respiratory syncytial virus (7/202), influenza B virus (6/202), metapneumovirus (4/202), and coronavirus (2/202).",2.1441689
15,Novel coronavirus pneumonia in the primary general hospital of treatment based on traditional Chinese medicine syndrome differentiation and prevention,"To provide an overview of the three major deadly coronaviruses and identify areas for improvement of future preparedness plans, as well as provide a critical assessment of the risk factors and actionable items for stopping their spread, utilizing lessons learned from the first two deadly coronavirus outbreaks, as well as initial reports from the current novel coronavirus (COVID-19) epidemic in Wuhan, China.Utilizing the Centers for Disease Control and Prevention (CDC, USA) website, and a comprehensive review of PubMed literature, we obtained information regarding clinical signs and symptoms, treatment and diagnosis, transmission methods, protection methods and risk factors for Middle East Respiratory Syndrome (MERS), Severe Acute Respiratory Syndrome (SARS) and COVID-19.",2.1189919
16,"The network investigation on knowledge, attitude and practice about Novel coronavirus pneumonia of the residents in Anhui Province",Coronaviruses cause respiratory and gastrointestinal diseases in diverse host species.,2.1121426
17,Covid-19: UK could delay non-urgent care and call doctors back from leave and retirement,"In this study, we used infectious bronchitis coronavirus (IBV) as a model to study EIC.",2.1115918
19,Emergency management practice of novel coronavirus pneumonia in designated hospitals,"A newly identified coronavirus, 2019-nCoV, has been posing significant threats to public health since December 2019.",2.1073053
