,paperID,abstract,Score
0,Integration of the Gene Ontology into an object-oriented architecture,"However, many coronaviruses can also be transmitted through oral-fecal route by infecting intestines.",2.7541034
1,"Circular externa No 0000005 de 2020: Directrices para la detección temprana, el control y la atención ante la posible introducción del nuevo coronavirus (2019-nCoV) y la implementación de los planes de preparación y respuesta ante este riesgo","Understanding the mode of infection, transmission and biological behavior of the novel coronavirus (2019-nCoV) is undoubtedly a key of cutting off the spread and prevention of the disease which doctors are fearing to be a worldwide epidemic.",2.6877832
2,Antigen Capture Enzyme-Linked Immunosorbent Assay for Detecting Middle East Respiratory Syndrome Coronavirus in Humans,Accurate estimation of the incubation period of the coronavirus is essential to the prevention and control.,2.5932636
3,Daily briefing: The potential for repurposing existing drugs to fight COVID-19 coronavirus,"Recently more evidence suggests that a substantial fraction of the infected individuals with the novel coronavirus show little if any symptoms, which suggest the need to reassess the transmission potential of this emerging disease.",2.5627327
4,"Estimating the basic reproduction number of COVID-19 in Wuhan, China",Coronaviruses (CoVs) are common human and animal pathogens that can transmit zoonotically and cause severe respiratory disease syndromes.,2.562691
5,Emerging and re-emerging human infectious diseases: A systematic review of the role of wild animals with a focus on public health impact,Coronaviruses (CoVs) are common human and animal pathogens that can transmit zoonotically and cause severe respiratory disease syndromes.,2.5626905
6,A time delay dynamic system with external source for the local outbreak of 2019-nCoV,"As the infection of 2019-nCoV coronavirus is quickly developing into a global pneumonia epidemic, careful analysis of its transmission and cellular mechanisms is sorely needed.",2.5625527
7,Recombination Every Day: Abundant Recombination in a Virus during a Single Multi-Cellular Host Infection,"It is unclear if the infectivity exists during the incubation period, although a person-to-person transmission has been reported in previous studies.",2.5456913
8,Old Weapon for New Enemy: Drug Repurposing for Treatment of Newly Emerging Viral Diseases,It is crucial to assess hospital environmental hygiene to understand the most important environmental issues for controlling the spread of COVID-19 in hospitals.,2.5153742
9,Consistent detection of 2019 novel coronavirus in saliva,"Understanding the evolution, zoonotic transmission, and source of this novel virus would help accelerating containment and prevention efforts.",2.465599
10,Composition and divergence of coronavirus spike proteins and host ACE2 receptors predict potential intermediate hosts of SARS-CoV-2,"It is also of importance that presented data may be relevant for the emerging coronaviruses, including SARS-CoV-2 and may help to understand the differences in their zoonotic potential.",2.4444473
11,Full-genome evolutionary analysis of the novel corona virus (2019-nCoV) rejects the hypothesis of emergence as a result of a recent recombination event,"Since the novel coronavirus has been reported to be capable of endangering thousands of lives, it is extremely important to find out how the coronavirus is transmitted in human organs.",2.4235463
12,[Investigation and analysis on characteristics of a cluster of COVID-19 associated with exposure in a department store in Tianjin],"With the spreading of the novel coronavirus (2019-nCoV) infection, the reproduction number has been found to vary, reflecting the dynamics of transmission of the coronavirus outbreak as well as the case reporting rate.",2.420188
13,Small Molecule Inhibitors of Middle East Respiratory Syndrome Coronavirus Fusion by Targeting Cavities on Heptad Repeat Trimers,"These analyses provide insights into the receptor usage, cell entry, host cell infectivity and animal origin of 2019-nCoV, and may help epidemic surveillance and preventive measures against 2019-nCoV.SignificanceThe recent emergence of Wuhan coronavirus (2019-nCoV) puts the world on alert.",2.4198875
14,Unveiling the Origin and Transmission of 2019-nCoV,This may also provide insights into the evolution of 2019-nCoV because SARS-like coronaviruses are thought to have originated in bats that are known to have a higher body-temperature than humans.,2.4155457
15,Timely mental health care for the 2019 novel coronavirus outbreak is urgently needed,"Methods Here we use observations of reported infection and spread within China in conjunction with mobility data, a networked dynamic metapopulation model and Bayesian inference, to infer critical epidemiological characteristics associated with the emerging coronavirus, including the fraction of undocumented infections and their contagiousness.",2.408197
16,The 2019 Novel Coronavirus Outbreak - A Global Threat,"In general, COVID-19 is transmitted in more diverse ways and is more infectious, so the early recognition of disease by healthcare worker and patient is very important.",2.39198
17,Effects of misleading media coverage on public health crisis: a case of the 2019 novel coronavirus outbreak in China,Analyzing the distribution and expression level of the route of coronavirus may help reveal underlying mechanisms of viral susceptibility and post-infection modulation.,2.3786366
18,"Short-term Forecasts of the COVID-19 Epidemic in Guangdong and Zhejiang, China: February 13–23, 2020","Compared with SARS and Ebola viruses, new coronavirus infections are infectious during the incubation period.",2.3678212
