,paperID,abstract,Score
0,Unveiling the Origin and Transmission of 2019-nCoV,This may also provide insights into the evolution of 2019-nCoV because SARS-like coronaviruses are thought to have originated in bats that are known to have a higher body-temperature than humans.,2.660808
1,Coronavirus (COVID-19) Outbreak: What the Department of Radiology Should Know,"Previous studies on codon usage of influenza A viruses can help identify viral host origins and evolution trends, however, similar studies on coronaviruses are lacking.",2.657558
2,Guidelines for pregnant women with suspected SARS-CoV-2 infection,"The recent outbreak of a new coronavirus (2019-nCoV) in Wuhan, China, underscores the need for understanding the evolutionary processes that drive the emergence and adaptation of zoonotic viruses in humans.",2.631347
3,A Systematic Review of Lopinavir Therapy for SARS Coronavirus and MERS Coronavirus–A Possible Reference for Coronavirus Disease-19 Treatment Option,"However, the mechanisms responsible for infection and molecular evolution of this virus remained unclear.",2.5938475
4,Application of the ARIMA model on the COVID-2019 epidemic dataset,"Unfortunately, the similarities and differences between the two coronavirus diseases remain to be unknown.",2.5084586
5,Combination of RT-qPCR Testing and Clinical Features For Diagnosis of COVID-19 facilitates management of SARS-CoV-2 Outbreak,"To reveal the evolution mechanism of SARS-CoV-2 genome, we performed comprehensive genomic analysis with newly sequenced SARS-CoV-2 strains and 20 closely related coronavirus strains.",2.4351163
7,A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster,We found genomic and evolutionary evidences of the occurrence of 2019-nCoV-like coronavirus (named as Pangolin-CoV) from dead Malayan Pangolins.,2.408419
8,On the Coronavirus (COVID-19) Outbreak and the Smart City Network: Universal Data Sharing Standards Coupled with Artificial Intelligence (AI) to Benefit Urban Health Monitoring and Management,"Here we describe aspects of coronavirus evolutionary genetics revealed from these data, and provide the first direct RNA sequence of SARS-CoV-2, detailing coronaviral subgenome-length mRNA architecture.",2.3980956
9,Abnormal Coagulation parameters are associated with poor prognosis in patients with novel coronavirus pneumonia,"In this article, we provide a preliminary evolutionary and molecular epidemiological analysis of this new virus.",2.3817334
10,2019 Novel Coronavirus (COVID-19) Pneumonia: Serial Computer Tomography Findings,"By using genomic, sequence, structural and evolutionary analysis, we show that Alpha- and Beta-CoVs possess several novel families of immunoglobulin (Ig) domain proteins, including ORF8 and ORF7a from SARS-related coronaviruses and two protein groups from certain Alpha-CoVs.",2.336216
11,The response of Milan's Emergency Medical System to the COVID-19 outbreak in Italy,The molecular and phylogenetic analyses showed that pangolin Coronaviruses (pangolin-CoV) are genetically related to both the 2019-nCoV and bat Coronaviruses but do not support the 2019-nCoV arose directly from the pangolin-CoV.,2.3286884
12,The epidemiological characteristics of an outbreak of 2019 novel coronavirus diseases (COVID-19) in China,The source of the virus and the pathogenesis of this disease are still unconfirmed.,2.326047
13,The race to unravel the United States’ biggest coronavirus outbreak,The source of the virus and the pathogenesis of this disease are still unconfirmed.,2.326046
14,Coronavirus disinfection in histopathology,"In addition, the comprehensive evaluation of all the published genomes of Coronavirus strains, including population genetics analysis, functional analysis and structural analysis on a historical and global scale were presented in the CoVdb.",2.3117561
15,Composition and divergence of coronavirus spike proteins and host ACE2 receptors predict potential intermediate hosts of SARS-CoV-2,"It is also of importance that presented data may be relevant for the emerging coronaviruses, including SARS-CoV-2 and may help to understand the differences in their zoonotic potential.",2.303678
16,"The network investigation on knowledge, attitude and practice about Novel coronavirus pneumonia of the residents in Anhui Province",Coronaviruses cause respiratory and gastrointestinal diseases in diverse host species.,2.296588
17,Integration of the Gene Ontology into an object-oriented architecture,"Coronaviruses are the well-known cause of severe respiratory, enteric and systemic infections in a wide range of hosts including man, mammals, fish, and avian.",2.2919228
18,The global spread of 2019-nCoV: a molecular evolutionary analysis,Full genomic sequences have been released by the worldwide scientific community in the last few weeks in order to understand the evolutionary origin and molecular characteristics of this virus.,2.2894843
