,paperID,abstract,Score
0,Therapeutic options for the 2019 novel coronavirus (2019-nCoV),in the development of vaccines for new viruses.,2.918461
1,The psychological effects of quarantining a city,This knowledge should facilitate the design of antivirals to prevent coronavirus infections in the field.,2.9039307
2,China coronavirus: WHO declares international emergency as death toll exceeds 200,"In this review, we summarized the epidemiology, virology, and pathogenesis of four HFRS-causing viruses, HTNV, SEOV, PUUV, and DOBV, and two HCPS-causing viruses, ANDV and SNV, and then discussed the existing knowledge on vaccines and therapeutics against these diseases.",2.8054752
4,Development of epitope-based peptide vaccine against novel Coronavirus 2019 (SARS-COV-2): Immunoinformatics approach,"Together, our results identify potential therapeutic options for treatment of MERS-CoV infections and could provide a basis for a wider range of coronaviruses, including the currently emerging coronavirus disease 2019 (COVID-19) outbreak.",2.543041
5,Emergence of Novel Coronavirus 2019-nCoV: Need for Rapid Vaccine and Biologics Development,It is of special significance to find a safe and effective vaccine against coronavirus disease 2019 (COVID-19) that can induce T cell and B cell -mediated immune responses.,2.5407069
6,"Initial CT findings and temporal changes in patients with the novel coronavirus pneumonia (2019-nCoV): a study of 63 patients in Wuhan, China","Therefore, vaccines and antiviral medicines are in desperate need.",2.4643543
7,Clinical features and high resolutionCT imaging findings of preliminary diagnosis novel coronavirus pneumonia,Diagnosis of the virus responsible for disease is essential to ensure patients receive appropriate clinical management.,2.456252
8,Swine acute diarrhea syndrome coronavirus (SADS-CoV) antagonizes interferon-β production via blocking IPS-1 and RIG-I,No approved vaccine yet exists for 2019-nCoV or any form of coronavirus.,2.4476156
9,A Case Series of children with 2019 novel coronavirus infection: clinical and epidemiological features,"However, there is no specific antiviral treatment or vaccine currently.",2.3926575
10,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China","These findings suggest a trade-off between the efficacy and spectrum for therapeutic antibodies to different coronaviruses, and hence highlight the possibilities and challenges in developing broadly protecting antibodies and vaccines against SARS-CoV-2 and its future mutants.",2.3865073
11,Emergency management for preventing and controlling nosocomial infection of 2019 novel coronavirus: implications for the dermatology department,"Currently, however, there is no specific antiviral treatment or vaccine.",2.3601184
12,Pharma mobilizes to combat the coronavirus,"The CoV spike (S) glycoprotein is a key target for urgently needed vaccines, therapeutic antibodies, and diagnostics.",2.3600404
13,Selection and Use of Respiratory Protection by Healthcare Workers to Protect from Infectious Diseases in Hospital Settings,"However, the viral protease of a coronavirus is well-known to be essential for its replication and thus is an effective drug target.",2.2915325
14,Dynamic changes of chest CT imaging in patients with corona virus disease-19 (COVID-19),Prevention and control about the situation of 2019 coronavirus disease (COVID-19) are grim at present.,2.258823
15,Origin and evolution of pathogenic coronaviruses,"To date, no antiviral therapy or vaccine is available which can effectively combat the infection caused by this virus.",2.2565606
16,Abnormal Coagulation parameters are associated with poor prognosis in patients with novel coronavirus pneumonia,"There is concern about a new coronavirus, the 2019-nCoV, as a global public health threat.",2.235524
17,Angiotensin receptor blockers as tentative SARS-CoV-2 therapeutics,There is no existing vaccine or proven drug to prevent infections and stop virus proliferation.,2.2155612
18,Coronavirus disease (COVID-19) and neonate: What neonatologist need to know,"Therefore, the epitopes IRNTTNPSAR and PTDTYTSVYLGKFRG may be considered as potential peptides for peptide-based vaccine for coronavirus after further experimental study.",2.1818204
19,Investigation on demands for antenatal care services among 2 002 pregnant women during the epidemic of coronavirus disease 2019 in Shanghai,The first coronaviruses discovered were the cause of pediatric and adult respiratory infections that were not particularly dangerous.,2.1793437
